date,daily_total,dow,week_weekend,device,temp,prcp
2015-03-04,14136,Wed,Weekday,Accupedo,4.3,1.3
2015-03-05,11248,Thu,Weekday,Accupedo,4.7,0
2015-03-06,12803,Fri,Weekday,Accupedo,5.4,0
2015-03-07,15011,Sat,Weekend,Accupedo,7.9,0
2015-03-08,9222,Sun,Weekend,Accupedo,10.2,0
2015-03-09,21452,Mon,Weekday,Accupedo,8.8,0
2015-03-10,27752,Tue,Weekday,Accupedo,8.7,0
2015-03-11,19080,Wed,Weekday,Accupedo,4.6,0
2015-03-12,14366,Thu,Weekday,Accupedo,6.2,0
2015-03-13,28952,Fri,Weekday,Accupedo,4.6,0
2015-03-14,7219,Sat,Weekend,Accupedo,3.6,0
2015-03-16,10513,Mon,Weekday,Accupedo,5.1,0
2015-03-17,24882,Tue,Weekday,Accupedo,8.8,0
2015-03-18,15841,Wed,Weekday,Accupedo,6.1,0
2015-03-19,19021,Thu,Weekday,Accupedo,6,0
2015-03-20,14067,Fri,Weekday,Accupedo,5.8,0
2015-03-21,36092,Sat,Weekend,Accupedo,6,0
2015-03-22,17301,Sun,Weekend,Accupedo,4.7,0
2015-03-23,24920,Mon,Weekday,Accupedo,4.7,0
2015-03-24,27463,Tue,Weekday,Accupedo,5.2,0
2015-03-25,18620,Wed,Weekday,Accupedo,5.2,10.9
2015-03-26,11280,Thu,Weekday,Accupedo,4.2,0
2015-03-27,19879,Fri,Weekday,Accupedo,6.2,0
2015-03-29,11325,Sun,Weekend,Accupedo,9.9,6.6
2015-03-30,15835,Mon,Weekday,Accupedo,7.8,2
2015-03-31,17745,Tue,Weekday,Accupedo,9.7,0.3
2015-04-01,16318,Wed,Weekday,Accupedo,6.9,0.3
2015-04-02,10579,Thu,Weekday,Accupedo,5.9,0.8
2015-04-03,10858,Fri,Weekday,Accupedo,5.1,0
2015-04-04,10138,Sat,Weekend,Accupedo,5,1
2015-04-05,20735,Sun,Weekend,Accupedo,4.9,0
2015-04-06,28079,Mon,Weekday,Accupedo,5.4,0
2015-04-07,50490,Tue,Weekday,Accupedo,7.2,0
2015-04-08,27226,Wed,Weekday,Accupedo,8.1,0
2015-04-09,17222,Thu,Weekday,Accupedo,11.2,0
2015-04-10,12483,Fri,Weekday,Accupedo,13.6,0
2015-04-11,12054,Sat,Weekend,Accupedo,10.3,3
2015-04-12,23060,Sun,Weekend,Accupedo,10.5,0
2015-04-13,14439,Mon,Weekday,Accupedo,9.7,0
2015-04-14,8766,Tue,Weekday,Accupedo,13.9,0
2015-04-15,16847,Wed,Weekday,Accupedo,16.5,0
2015-04-16,13733,Thu,Weekday,Accupedo,11.6,0
2015-04-17,20453,Fri,Weekday,Accupedo,9.4,0
2015-04-18,15768,Sat,Weekend,Accupedo,7.9,0
2015-04-19,19513,Sun,Weekend,Accupedo,7.8,0
2015-04-20,28813,Mon,Weekday,Accupedo,11.2,0
2015-04-21,21874,Tue,Weekday,Accupedo,11.4,0
2015-04-22,16045,Wed,Weekday,Accupedo,8.4,0
2015-04-23,11341,Thu,Weekday,Accupedo,9,0
2015-04-24,19273,Fri,Weekday,Accupedo,14,0
2015-04-25,25073,Sat,Weekend,Accupedo,12.9,0
2015-04-26,6643,Sun,Weekend,Accupedo,12.3,4.8
2015-04-27,21646,Mon,Weekday,Accupedo,8.8,3
2015-04-28,22610,Tue,Weekday,Accupedo,7.5,0
2015-04-29,15404,Wed,Weekday,Accupedo,8.9,0
2015-04-30,14990,Thu,Weekday,Accupedo,9.1,0.5
2015-05-01,892,Fri,Weekday,Accupedo,8.2,1.8
2015-05-02,9093,Sat,Weekend,Accupedo,10.9,0
2015-05-03,2245,Sun,Weekend,Accupedo,13.7,0
2015-05-04,16790,Mon,Weekday,Accupedo,15.3,3.8
2015-05-05,23673,Tue,Weekday,Accupedo,15.9,11.2
2015-05-06,15450,Wed,Weekday,Accupedo,12.1,3.3
2015-05-07,15410,Thu,Weekday,Accupedo,11.4,3
2015-05-08,23398,Fri,Weekday,Accupedo,14.6,0
2015-05-09,19848,Sat,Weekend,Accupedo,14.6,0.3
2015-05-10,14953,Sun,Weekend,Accupedo,13.9,0
2015-05-11,22801,Mon,Weekday,Accupedo,18.2,0
2015-05-12,25569,Tue,Weekday,Accupedo,15.4,0
2015-05-13,13534,Wed,Weekday,Accupedo,12.9,0
2015-05-14,22062,Thu,Weekday,Accupedo,10.4,0
2015-05-15,13550,Fri,Weekday,Accupedo,10.9,4.1
2015-05-16,16752,Sat,Weekend,Accupedo,10.4,2
